Column1._index,Column1._type,Column1._id,Column1._score,Column1._source.ir_root,Column1._source.ir_name,Column1._source.ir_platform,Column1._source.url_string_filter,Column1._source.add_date,Column1._source.logging,Column1._source.country,Column1._source.description,Column1._source.urls,Column1._source.page_click_index,Column1._source.access_info_index,Column1.sort
repository_configuration,_doc,calgary_prism,,calgary_prism,University of Calgary PRISM,dspace,/bitstream/,2020-07-20,TRUE,CA,"PRISM: University of Calgary’s Digital Repository is used to manage, preserve and make available the academic works of faculty, students and research groups. The collection includes faculty publications, masters and doctoral theses, and research output from across Southern Alberta.",[List],calgary_prism_page_clicks,calgary_prism_access_info,[List]
repository_configuration,_doc,kansas_krex,,kansas_krex,Kansas State University Research Exchange (K-REx),dspace,/bitstream/,2020-07-20,TRUE,US,"Begun in 2004, DSpace, which we have branded K-State Research Exchange (K-REx), showcases a variety of content including digital scholarship created by K-State scholars and K-State libraries digital collections. K-REx is globally accessible by anyone with access to the Internet. Generally, only members of the KSU academic community may upload content.",[List],kansas_krex_page_clicks,kansas_krex_access_info,[List]
repository_configuration,_doc,winnipeg_winnspace,,winnipeg_winnspace,University of Winnipeg WinnSpace,dspace,/bitstream/,2020-07-20,TRUE,CA,"WinnSpace is the open-access digital repository of the University of Winnipeg. It collects, preserves, and provides access to faculty and staff publications, graduate student theses, and the research papers of the Institute of Urban Studies.",[List],winnipeg_winnspace_page_clicks,winnipeg_winnspace_access_info,[List]
repository_configuration,_doc,swarthmore_works,,swarthmore_works,Swarthmore College Works,digitalcommons,viewcontent.cgi,2020-07-20,TRUE,US,"Works is a research information management system that aims to bring together all of Swarthmore College's faculty output and research under one umbrella, with an aim to preserve and provide access to that research.",[List],swarthmore_works_page_clicks,swarthmore_works_access_info,[List]
repository_configuration,_doc,swarthmore_tricollege,,swarthmore_tricollege,Swarthmore College: Institutional Scholarship,dspace,/bitstream/,2020-07-20,TRUE,US,"The purpose of the TriCollege Libraries Institutional Repository is to collect, describe, provide access to, and preserve the digital materials associated with the research and scholarship of Bryn Mawr, Haverford, and Swarthmore Colleges, as well as materials of historical value to the Colleges.",[List],swarthmore_tricollege_page_clicks,swarthmore_tricollege_access_info,[List]
repository_configuration,_doc,epsilon_open,,epsilon_open,Swedish University of Agricultural Sciences Epsilon Open Archive,eprints,.pdf,2020-08-04,TRUE,SE,The Epsilon Open Archive is a full text electronic archive of Open Access publications from the Swedish University of Agricultural Sciences (SLU).,[List],epsilon_open_page_clicks,epsilon_open_access_info,[List]
repository_configuration,_doc,epsilon_student,,epsilon_student,Swedish University of Agricultural Sciences Epsilon Archive for Student Projects,eprints,.pdf,2020-08-04,TRUE,SE,The Epsilon Archive for Student Projects is a full text electronic archive of undergraduate theses and projects at the Swedish University of Agricultural Sciences (SLU).,[List],epsilon_student_page_clicks,epsilon_student_access_info,[List]
repository_configuration,_doc,massey_research,,massey_research,Massey University Massey Research Online,dspace,/bitstream/,2020-08-04,TRUE,NZ,Massey Research Online (MRO) is an open access digital archive of the research and scholarship of Massey University. MRO contains research theses and research outputs including published work by Massey University students and academic staff as well as peer-reviewed material not published elsewhere.,[List],massey_research_page_clicks,massey_research_access_info,[List]
repository_configuration,_doc,brock_digital,,brock_digital,Brock University Digital Repository,dspace,/bitstream/,2020-08-04,TRUE,CA,"Brock University’s Digital Repository is an online archive showcasing and preserving the Brock community’s scholarly output as well as items from the Library’s Special Collections and Archives. Researchers can disseminate their work by depositing it in this Open Access repository, which provides free, immediate access to users while also allowing Brock scholars to track downloads and views of their scholarship.",[List],brock_digital_page_clicks,brock_digital_access_info,[List]
repository_configuration,_doc,boston_openbu,,boston_openbu,Boston University OpenBU,dspace,/bitstream/,2020-08-04,TRUE,US,"Boston University’s institutional repository, OpenBU, provides access and preservation to the University’s intellectual and creative output, which includes: publications, documents, images, videos, and more. OpenBU is an open access repository, which means that the majority of the works deposited here are freely accessible and discoverable to the world via the web.",[List],boston_openbu_page_clicks,boston_openbu_access_info,[List]
